"Reference";"Qty";"Value";"Manufacturer_Name";"Manufacturer_Part_Number"
"C101,C102,C103,C104,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C122,C123,C124,C125,C126,C127,C128,C201,C202,C203,C204,C205,C301,C304,C307,C308,C309,C310,C311,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C328,C329,C330,C331,C332,C334,C336,C339,C340,C341,C346,C403,C404,C405,C406,C407,C408,C409,C410,C411,C412,C414,C415,C501,C514,C602,C608,C609,C610,C611";"78";"0.1u";"Kemet";"C1206C104K5RACTU"
"C105,C106,C120,C121,C129,C130,C325,C326,C333,C342,C413";"11";"1u";"Kemet";"C1206C105K4RACTU"
"C206,C207,C303,C601";"4";"10u";"Kemet";" C1206C106K4RACTU"
"C305,C502,C503,C504,C505,C506,C507,C508,C509,C510,C511,C512,C513,C607";"14";"10u";"Panasonic";"ECE-A1HKS100I"
"C306";"1";"100u";"Panasonic";"ECE-A1AKS101"
"C312,C344";"2";"0.01u";"Kemet";"C1206C103K5RACTU"
"C327";"1";"0.47u";"Kemet";"C1206C474K5RACTU"
"C337";"1";"2.7n";"Kemet";"C1206C272K5RACTU"
"C343,C345";"2";"2.2u";"Kemet";"C1206C225K4RACTU"
"C401,C402";"2";"33p";"Kemet";"C1206C330J1GACTU"
"C603,C604,C605,C606";"4";"4u7";"Panasonic";"ECE-A1HKS4R7"
"D201,D202,D203";"3";"1A 50V";"Comchip";"CGRKM4001-HF"
"D301";"1";"PMEG2010ER";"Nexperia";"PMEG2010ER"
"D601";"1";"1N914";"Taiwan Semiconductor";"1N914BW RHG"
"J101,J609";"2";"PinHdr_01x02";"Wurth Elektronik";"61300211121"
"J102,J308";"2";"PinHdr_02x05";"Wurth Elektronik";"61201021621"
"J103,J203";"2";"PinHdr_01x03";"Wurth Elektronik";"61300311121"
"J201";"1";"ATX Power";"TE Connectivity";"1-1775099-3"
"J202";"1";"Pinhdr_02x04";"Wurth Elektronik";"61300821121"
"J204,J205,J206";"3";"FanHeader";"Molex";"171856-1003"
"J301,J302,J303,J304";"4";"SIMM72";"TE Connectivity";"5822030-3"
"J305";"1";"FanHeader";"Molex";"47053-1000"
"J306";"1";"PinHdr_02x05";"Wurth Elektronik";"61301021121"
"J307";"1";"FanHeader";"Mill-Max";"800-10-004-10-001000"
"J401";"1";"IDE44";"Wurth Elektronik";"62004421121"
"J402";"1";"BatteryHolder";"Harwin";"S8401-46"
"J501,J502,J503,J504";"4";"ISA16";"TE Connectivity";"5176139-2"
"J601";"1";"DB25/9/9";"Amphenol";"L17H26R0121"
"J602,J606,J607,J608";"4";"PinHdr_01x04";"Wurth Elektronik";"61300411121"
"J603";"1";"DB9M/9M";"Kycon";"K42X-E9P/P-A4NJ"
"J604";"1";"USBx2";"GCT";"USB1035-GF-P-0-B-B"
"J605";"1";"TRSx2";"Kycon";"STX-4235-3/3-N"
"JX601,JX602";"2";"DIP-24";"TE Connectivity";"1-2199298-8"
"JX603";"1";"SPDIP-28";"TE Connectivity";"1-2199298-9"
"JX604";"1";"DIP-40";"3M";"4840-6000-CP"
